protein_name,mean_plddt
28nv_A,27.70
9nsm_A,30.35
9lb3_A,31.41
9jaa_A,31.48
9gnt_A,31.73
9jak_A,31.90
9lb4_A,32.06
9lb2_A,32.30
9csm_A,32.58
9hkj_A,34.79
9ouf_A,36.68
9hn6_AAA,36.73
9rt6_A,36.97
9ro8_A,37.50
9w4u_A,38.05
9c63_A,39.48
9rpl_A,41.19
9p8l_A,42.82
9wsc_A,43.77
8yqg_A,44.92
8v23_A,45.69
9bcy_AAA,46.91
35tm_A,49.27
9n42_A,51.21
9nx3_A,52.29
9gtj_A,53.91
9i7z_A,57.13
9mvr_A,58.24
9o0j_A,59.66
9xvh_A,60.90
9e5a_A,61.14
9gjz_A,61.80
9fic_A,65.24
9khr_A,66.14
9d9t_A,66.21
26qz_A,67.14
8z4h_A,68.58
8z4n_A,68.59
9iey_A,69.62
9hd4_A,70.07
9mhj_A,70.63
9eib_A,70.86
9iab_A,71.29
8rho_A,71.43
9d2r_A,71.63
9g3t_A,71.78
9g3k_A,71.84
9hqt_B,72.69
9ual_A,72.89
9d2s_A,73.43
8rmz_A,73.78
9yh9_A,74.02
9u7b_A,74.07
9d9y_A,74.23
9g0j_A,74.86
10wy_A,75.82
9edg_A,76.21
9q84_A,76.51
9hx8_A,76.58
9edh_A,76.65
9wzk_A,76.76
9fnr_A,76.96
9in7_A,77.04
9edu_A,77.17
9foa_D,77.19
9cmk_A,77.39
9edi_A,77.51
9q3h_A,77.52
9edk_A,77.54
9gxz_A,77.54
9ec5_A,77.71
9edf_A,77.79
9qo7_A,77.82
9qnz_A,77.87
9ffj_A,78.11
9h4c_A,78.56
9mgt_A,78.81
9nzy_A,79.08
9t09_A,79.14
9k3g_A,79.38
9qt0_A,79.82
9l08_A,79.89
9gxf_A,79.93
9jvd_A,79.98
