protein_name,tm_score
9gee_A,0.20440
9dlo_a,0.22330
9hkg_A,0.23020
9thj_A,0.23620
9hij_A,0.24310
26ln_A,0.24340
9hik_A,0.24490
8zfv_A,0.26220
9g7q_A,0.28160
9eyl_A,0.32070
8yo6_A,0.33390
9q5e_A,0.37780
9lp6_A,0.40760
9ca3_A,0.41680
9mym_A,0.42590
9cub_A,0.45280
9wx3_D,0.45560
9cue_A,0.46820
9doj_A,0.46850
9t4n_A,0.52990
9t47_A,0.54600
9nk0_A,0.55220
9nk3_A,0.55870
9t4q_A,0.56850
9j2c_A,0.59600
9uuv_A,0.61410
8s6s_A,0.62590
9sop_A,0.62820
9t4o_A,0.62950
9srg_A,0.64190
9z71_A,0.64700
9kyi_A,0.64770
9csz_B,0.66020
9sos_A,0.68130
