label,reason,length,x_ratio,noncanonical_ratio,resolution,source_file
10lr_A,kept,275,0.0000,0.0000,1.583,data/all_pdb_1y/fed_split/client_3/mmcif_files/10lr.cif
10xa_A,kept,99,0.0000,0.0000,1.25,data/all_pdb_1y/fed_split/client_3/mmcif_files/10xa.cif
10xd_A,kept,93,0.0000,0.0000,1.95,data/all_pdb_1y/fed_split/client_3/mmcif_files/10xd.cif
11te_A,kept,227,0.0000,0.0000,1.55,data/all_pdb_1y/fed_split/client_3/mmcif_files/11te.cif
11tu_A,kept,284,0.0000,0.0000,1.7,data/all_pdb_1y/fed_split/client_3/mmcif_files/11tu.cif
11tv_D,kept,280,0.0000,0.0000,1.65,data/all_pdb_1y/fed_split/client_3/mmcif_files/11tv.cif
13rz_A,kept,78,0.0000,0.0000,1.66,data/all_pdb_1y/fed_split/client_3/mmcif_files/13rz.cif
21dc_A,kept,244,0.0000,0.0000,1.2,data/all_pdb_1y/fed_split/client_3/mmcif_files/21dc.cif
21kv_A,kept,182,0.0000,0.0000,2.0,data/all_pdb_1y/fed_split/client_3/mmcif_files/21kv.cif
21lo_A,kept,174,0.0000,0.0000,1.99,data/all_pdb_1y/fed_split/client_3/mmcif_files/21lo.cif
21lq_A,kept,174,0.0000,0.0000,1.76,data/all_pdb_1y/fed_split/client_3/mmcif_files/21lq.cif
21lr_A,kept,174,0.0000,0.0000,1.5,data/all_pdb_1y/fed_split/client_3/mmcif_files/21lr.cif
21ls_A,kept,174,0.0000,0.0000,1.57,data/all_pdb_1y/fed_split/client_3/mmcif_files/21ls.cif
22oc_A,kept,193,0.0000,0.0000,2.0,data/all_pdb_1y/fed_split/client_3/mmcif_files/22oc.cif
22rb_B,kept,262,0.0000,0.0000,1.75,data/all_pdb_1y/fed_split/client_3/mmcif_files/22rb.cif
24uu_A,kept,287,0.0000,0.0000,1.97,data/all_pdb_1y/fed_split/client_3/mmcif_files/24uu.cif
26jk_A,kept,158,0.0000,0.0000,1.55,data/all_pdb_1y/fed_split/client_3/mmcif_files/26jk.cif
27aa_A,kept,166,0.0000,0.0000,1.834,data/all_pdb_1y/fed_split/client_3/mmcif_files/27aa.cif
27ah_A,kept,82,0.0000,0.0000,1.4,data/all_pdb_1y/fed_split/client_3/mmcif_files/27ah.cif
28jy_A,kept,182,0.0000,0.0000,1.6,data/all_pdb_1y/fed_split/client_3/mmcif_files/28jy.cif
28kb_A,kept,182,0.0000,0.0000,1.83,data/all_pdb_1y/fed_split/client_3/mmcif_files/28kb.cif
29hm_A,kept,183,0.0000,0.0000,1.801,data/all_pdb_1y/fed_split/client_3/mmcif_files/29hm.cif
36iw_A,kept,128,0.0000,0.0000,1.65,data/all_pdb_1y/fed_split/client_3/mmcif_files/36iw.cif
7hqq_A,kept,295,0.0000,0.0000,1.99,data/all_pdb_1y/fed_split/client_3/mmcif_files/7hqq.cif
8pqm_A,kept,82,0.0000,0.0000,1.46,data/all_pdb_1y/fed_split/client_3/mmcif_files/8pqm.cif
8qm4_A,kept,215,0.0000,0.0000,1.849,data/all_pdb_1y/fed_split/client_3/mmcif_files/8qm4.cif
8qm8_A,kept,215,0.0000,0.0000,1.585,data/all_pdb_1y/fed_split/client_3/mmcif_files/8qm8.cif
8rib_A,kept,69,0.0000,0.0000,1.126,data/all_pdb_1y/fed_split/client_3/mmcif_files/8rib.cif
8rma_A,kept,265,0.0000,0.0000,0.83,data/all_pdb_1y/fed_split/client_3/mmcif_files/8rma.cif
8rs3_X,kept,235,0.0000,0.0000,1.7,data/all_pdb_1y/fed_split/client_3/mmcif_files/8rs3.cif
8rwo_A,kept,290,0.0000,0.0000,1.13,data/all_pdb_1y/fed_split/client_3/mmcif_files/8rwo.cif
8rwr_A,kept,290,0.0000,0.0000,1.03,data/all_pdb_1y/fed_split/client_3/mmcif_files/8rwr.cif
8s1v_E,kept,231,0.0043,0.0043,1.943,data/all_pdb_1y/fed_split/client_3/mmcif_files/8s1v.cif
8s4e_A,kept,124,0.0000,0.0000,1.98,data/all_pdb_1y/fed_split/client_3/mmcif_files/8s4e.cif
8u52_A,kept,127,0.0000,0.0000,1.5,data/all_pdb_1y/fed_split/client_3/mmcif_files/8u52.cif
8ugv_A,kept,115,0.0000,0.0000,1.99,data/all_pdb_1y/fed_split/client_3/mmcif_files/8ugv.cif
