label,reason,length,x_ratio,noncanonical_ratio,resolution,source_file
10mv_A,duplicate_sequence,275,0.0000,0.0000,1.66,data/all_pdb_1y/fed_split/client_3/mmcif_files/10mv.cif
10mw_A,duplicate_sequence,275,0.0000,0.0000,1.62,data/all_pdb_1y/fed_split/client_3/mmcif_files/10mw.cif
10qs_A,duplicate_sequence,275,0.0000,0.0000,1.733,data/all_pdb_1y/fed_split/client_3/mmcif_files/10qs.cif
10xc_A,duplicate_sequence,99,0.0000,0.0000,1.2,data/all_pdb_1y/fed_split/client_3/mmcif_files/10xc.cif
11tv_A,duplicate_sequence,280,0.0000,0.0000,1.65,data/all_pdb_1y/fed_split/client_3/mmcif_files/11tv.cif
11tw_D,duplicate_sequence,280,0.0000,0.0000,1.99,data/all_pdb_1y/fed_split/client_3/mmcif_files/11tw.cif
11tw_A,duplicate_sequence,280,0.0000,0.0000,1.99,data/all_pdb_1y/fed_split/client_3/mmcif_files/11tw.cif
13rz_B,duplicate_sequence,78,0.0000,0.0000,1.66,data/all_pdb_1y/fed_split/client_3/mmcif_files/13rz.cif
13rz_C,duplicate_sequence,78,0.0000,0.0000,1.66,data/all_pdb_1y/fed_split/client_3/mmcif_files/13rz.cif
13rz_D,duplicate_sequence,78,0.0000,0.0000,1.66,data/all_pdb_1y/fed_split/client_3/mmcif_files/13rz.cif
13sa_A,duplicate_sequence,78,0.0000,0.0000,1.569,data/all_pdb_1y/fed_split/client_3/mmcif_files/13sa.cif
13sa_B,duplicate_sequence,78,0.0000,0.0000,1.569,data/all_pdb_1y/fed_split/client_3/mmcif_files/13sa.cif
13sa_C,duplicate_sequence,78,0.0000,0.0000,1.569,data/all_pdb_1y/fed_split/client_3/mmcif_files/13sa.cif
13sa_D,duplicate_sequence,78,0.0000,0.0000,1.569,data/all_pdb_1y/fed_split/client_3/mmcif_files/13sa.cif
13sb_A,duplicate_sequence,78,0.0000,0.0000,1.48,data/all_pdb_1y/fed_split/client_3/mmcif_files/13sb.cif
13sb_B,duplicate_sequence,78,0.0000,0.0000,1.48,data/all_pdb_1y/fed_split/client_3/mmcif_files/13sb.cif
13sb_C,duplicate_sequence,78,0.0000,0.0000,1.48,data/all_pdb_1y/fed_split/client_3/mmcif_files/13sb.cif
13sb_D,duplicate_sequence,78,0.0000,0.0000,1.48,data/all_pdb_1y/fed_split/client_3/mmcif_files/13sb.cif
13sc_A,duplicate_sequence,78,0.0000,0.0000,1.475,data/all_pdb_1y/fed_split/client_3/mmcif_files/13sc.cif
13sc_B,duplicate_sequence,78,0.0000,0.0000,1.475,data/all_pdb_1y/fed_split/client_3/mmcif_files/13sc.cif
13sc_C,duplicate_sequence,78,0.0000,0.0000,1.475,data/all_pdb_1y/fed_split/client_3/mmcif_files/13sc.cif
13sc_D,duplicate_sequence,78,0.0000,0.0000,1.475,data/all_pdb_1y/fed_split/client_3/mmcif_files/13sc.cif
13sd_A,duplicate_sequence,78,0.0000,0.0000,1.52,data/all_pdb_1y/fed_split/client_3/mmcif_files/13sd.cif
13sd_B,duplicate_sequence,78,0.0000,0.0000,1.52,data/all_pdb_1y/fed_split/client_3/mmcif_files/13sd.cif
13sd_C,duplicate_sequence,78,0.0000,0.0000,1.52,data/all_pdb_1y/fed_split/client_3/mmcif_files/13sd.cif
13sd_D,duplicate_sequence,78,0.0000,0.0000,1.52,data/all_pdb_1y/fed_split/client_3/mmcif_files/13sd.cif
13se_A,duplicate_sequence,78,0.0000,0.0000,1.44,data/all_pdb_1y/fed_split/client_3/mmcif_files/13se.cif
13se_B,duplicate_sequence,78,0.0000,0.0000,1.44,data/all_pdb_1y/fed_split/client_3/mmcif_files/13se.cif
13se_C,duplicate_sequence,78,0.0000,0.0000,1.44,data/all_pdb_1y/fed_split/client_3/mmcif_files/13se.cif
13se_D,duplicate_sequence,78,0.0000,0.0000,1.44,data/all_pdb_1y/fed_split/client_3/mmcif_files/13se.cif
13sf_A,duplicate_sequence,78,0.0000,0.0000,1.708,data/all_pdb_1y/fed_split/client_3/mmcif_files/13sf.cif
13sf_B,duplicate_sequence,78,0.0000,0.0000,1.708,data/all_pdb_1y/fed_split/client_3/mmcif_files/13sf.cif
13sf_C,duplicate_sequence,78,0.0000,0.0000,1.708,data/all_pdb_1y/fed_split/client_3/mmcif_files/13sf.cif
13sf_D,duplicate_sequence,78,0.0000,0.0000,1.708,data/all_pdb_1y/fed_split/client_3/mmcif_files/13sf.cif
13sg_A,duplicate_sequence,78,0.0000,0.0000,1.725,data/all_pdb_1y/fed_split/client_3/mmcif_files/13sg.cif
13sg_B,duplicate_sequence,78,0.0000,0.0000,1.725,data/all_pdb_1y/fed_split/client_3/mmcif_files/13sg.cif
13sg_C,duplicate_sequence,78,0.0000,0.0000,1.725,data/all_pdb_1y/fed_split/client_3/mmcif_files/13sg.cif
13sg_D,duplicate_sequence,78,0.0000,0.0000,1.725,data/all_pdb_1y/fed_split/client_3/mmcif_files/13sg.cif
13sh_A,duplicate_sequence,78,0.0000,0.0000,1.6,data/all_pdb_1y/fed_split/client_3/mmcif_files/13sh.cif
13sh_B,duplicate_sequence,78,0.0000,0.0000,1.6,data/all_pdb_1y/fed_split/client_3/mmcif_files/13sh.cif
13sh_C,duplicate_sequence,78,0.0000,0.0000,1.6,data/all_pdb_1y/fed_split/client_3/mmcif_files/13sh.cif
