label,cif_path,chain_id,out_pdb,status,message
9cmk_A,data/all_pdb_1y/fed_test/all/mmcif_files/9cmk.cif,A,data/all_pdb_1y/fed_test/all/native/9cmk_A.pdb,ok,ok;seqres_len=141;resolved_ca=133
9ec5_A,data/all_pdb_1y/fed_test/all/mmcif_files/9ec5.cif,A,data/all_pdb_1y/fed_test/all/native/9ec5_A.pdb,ok,ok;seqres_len=159;resolved_ca=124
9edf_A,data/all_pdb_1y/fed_test/all/mmcif_files/9edf.cif,A,data/all_pdb_1y/fed_test/all/native/9edf_A.pdb,ok,ok;seqres_len=159;resolved_ca=122
9edg_A,data/all_pdb_1y/fed_test/all/mmcif_files/9edg.cif,A,data/all_pdb_1y/fed_test/all/native/9edg_A.pdb,ok,ok;seqres_len=159;resolved_ca=125
9edh_A,data/all_pdb_1y/fed_test/all/mmcif_files/9edh.cif,A,data/all_pdb_1y/fed_test/all/native/9edh_A.pdb,ok,ok;seqres_len=159;resolved_ca=124
9edi_A,data/all_pdb_1y/fed_test/all/mmcif_files/9edi.cif,A,data/all_pdb_1y/fed_test/all/native/9edi_A.pdb,ok,ok;seqres_len=159;resolved_ca=125
9edk_A,data/all_pdb_1y/fed_test/all/mmcif_files/9edk.cif,A,data/all_pdb_1y/fed_test/all/native/9edk_A.pdb,ok,ok;seqres_len=159;resolved_ca=124
9edu_A,data/all_pdb_1y/fed_test/all/mmcif_files/9edu.cif,A,data/all_pdb_1y/fed_test/all/native/9edu_A.pdb,ok,ok;seqres_len=159;resolved_ca=125
9ffj_A,data/all_pdb_1y/fed_test/all/mmcif_files/9ffj.cif,A,data/all_pdb_1y/fed_test/all/native/9ffj_A.pdb,ok,ok;seqres_len=159;resolved_ca=121
9fnr_A,data/all_pdb_1y/fed_test/all/mmcif_files/9fnr.cif,A,data/all_pdb_1y/fed_test/all/native/9fnr_A.pdb,ok,ok;seqres_len=159;resolved_ca=124
9foa_D,data/all_pdb_1y/fed_test/all/mmcif_files/9foa.cif,D,data/all_pdb_1y/fed_test/all/native/9foa_D.pdb,ok,ok;seqres_len=159;resolved_ca=122
9gxf_A,data/all_pdb_1y/fed_test/all/mmcif_files/9gxf.cif,A,data/all_pdb_1y/fed_test/all/native/9gxf_A.pdb,ok,ok;seqres_len=227;resolved_ca=218
9gxz_A,data/all_pdb_1y/fed_test/all/mmcif_files/9gxz.cif,A,data/all_pdb_1y/fed_test/all/native/9gxz_A.pdb,ok,ok;seqres_len=245;resolved_ca=220
9lb2_A,data/all_pdb_1y/fed_test/all/mmcif_files/9lb2.cif,A,data/all_pdb_1y/fed_test/all/native/9lb2_A.pdb,ok,ok;seqres_len=148;resolved_ca=148
9lb3_A,data/all_pdb_1y/fed_test/all/mmcif_files/9lb3.cif,A,data/all_pdb_1y/fed_test/all/native/9lb3_A.pdb,ok,ok;seqres_len=148;resolved_ca=148
9lb4_A,data/all_pdb_1y/fed_test/all/mmcif_files/9lb4.cif,A,data/all_pdb_1y/fed_test/all/native/9lb4_A.pdb,ok,ok;seqres_len=149;resolved_ca=148
9q84_A,data/all_pdb_1y/fed_test/all/mmcif_files/9q84.cif,A,data/all_pdb_1y/fed_test/all/native/9q84_A.pdb,ok,ok;seqres_len=248;resolved_ca=222
9qnz_A,data/all_pdb_1y/fed_test/all/mmcif_files/9qnz.cif,A,data/all_pdb_1y/fed_test/all/native/9qnz_A.pdb,ok,ok;seqres_len=159;resolved_ca=125
9qo7_A,data/all_pdb_1y/fed_test/all/mmcif_files/9qo7.cif,A,data/all_pdb_1y/fed_test/all/native/9qo7_A.pdb,ok,ok;seqres_len=159;resolved_ca=124
9u7b_A,data/all_pdb_1y/fed_test/all/mmcif_files/9u7b.cif,A,data/all_pdb_1y/fed_test/all/native/9u7b_A.pdb,ok,ok;seqres_len=188;resolved_ca=146
